I	U	sU	sI
0.00009345794393	1.378	0.003945	0.00002827229408
0.0002242990654	1.377	0.0039425	0.00002860534039
0.001214953271	1.375	0.0039375	0.00003126892751
0.002429906542	1.375	0.0039375	0.00003481461821
0.0008037383178	1.375	0.0039375	0.0000301347532
0.004018691589	1.374	0.003935	0.00003978517042
0.003457943925	1.374	0.003935	0.00003799553266
0.004803738318	1.373	0.0039325	0.0000423443319
0.007906542056	1.37	0.003925	0.00005289904004
0.01164485981	1.367	0.0039175	0.00006617946141
0.01100934579	1.368	0.00392	0.00006389229647
0.01209345794	1.366	0.003915	0.00006780003647
0.01340186916	1.365	0.0039125	0.00007254683556
0.01504672897	1.364	0.00391	0.00007855498726
0.01714018692	1.362	0.003905	0.00008625600002
0.01990654206	1.359	0.0038975	0.00009650246923
0.02373831776	1.356	0.00389	0.0001107848124
0.02934579439	1.352	0.00388	0.0001318138055
0.03158878505	1.349	0.0038725	0.0001402636664
0.03328971963	1.347	0.0038675	0.0001466797326
0.03420560748	1.346	0.003865	0.0003788418776
0.03626168224	1.344	0.00386	0.0003853671803
0.03734579439	1.343	0.0038575	0.0003888275072
0.05570093458	1.326	0.003815	0.0004491859439
0.06803738318	1.317	0.0037925	0.0004912300413
0.07663551402	1.309	0.0037725	0.0005210839062
0.08168224299	1.305	0.0037625	0.0005387747051
0.08747663551	1.299	0.0037475	0.0005592432827
0.09327102804	1.293	0.0037325	0.0005798517471
0.1011214953	1.287	0.0037175	0.0006079429124
0.1102803738	1.279	0.0036975	0.0006409842452
0.1214953271	1.27	0.003675	0.000681754544
0.134953271	1.26	0.00365	0.0007310641065
0.151588785	1.245	0.0036125	0.0007925943303
0.1728971963	1.229	0.0035725	0.0008720166293
0.2013084112	1.205	0.0035125	0.0009789970653
