U	I	sI	sU
0.389	0.0000006968641115	0.0000001513828716	0.0014725
0.387	0.0000003982080637	0.0000001504262243	0.0014675
0.513	0.0000004977600796	0.0000001507325664	0.0017825
0.282	0.0000002986560478	0.0000001501325261	0.001205
1.591	0.000007565953211	0.0000001986296598	0.0044775
1.147	0.000002588352414	0.0000001599313101	0.0033675
1.161	0.000002289696366	0.0000001583104866	0.0034025
0.884	0.000001194624191	0.0000001532242221	0.00271
1.016	0.000001592832255	0.0000001549131539	0.00304
1.663	0.000006271777003	0.0000001867830271	0.0046575
1.183	0.000002090592334	0.0000001572839928	0.0034575
1.59	0.000005077152812	0.0000001768357367	0.004475
1.959	0.00001015430562	0.0000002249562691	0.0053975
1.716	0.000005574912892	0.0000001808542224	0.00479
1.907	0.000008163265306	0.0000002044214827	0.0052675
2.53	0.0001191637631	0.000001722044844	0.011325
2.38	0.00002409158785	0.0000003961648235	0.01095
2.43	0.00003842707815	0.0000005897383287	0.011075
2.53	0.0001048282728	0.000001519646132	0.011325
2.54	0.0001204579393	0.00000245881521	0.01135
2.43	0.00003882528621	0.000001680105791	0.011075
2.65	0.0005495271279	0.000008187194856	0.011625
2.72	0.001022399204	0.00001483126428	0.0118
2.82	0.00224987556	0.00003752880736	0.01205
2.81	0.002020905923	0.00003456536056	0.012025
2.86	0.002727725236	0.00004384257635	0.01215
2.9	0.003524141364	0.0000546115372	0.01225
2.95	0.004539571926	0.00006858595491	0.012375
2.98	0.00537580886	0.00008020638176	0.01245
3.03	0.006510701842	0.00009606893925	0.012575
3.04	0.007068193131	0.0001038866743	0.0126
3.08	0.0081234445	0.0001187157236	0.0127
3.11	0.009427575908	0.0001370817172	0.012775
3.14	0.01058237929	0.0001533694413	0.01285
3.16	0.01143852663	0.0001654555704	0.0129
3.22	0.01432553509	0.000206255959	0.01305
3.29	0.01805873569	0.0002590757905	0.013225
3.34	0.02220009955	0.0003713959002	0.01335
3.36	0.024987556	0.0004079878345	0.0134
3.36	0.02458934793	0.0004027265509	0.0134
3.35	0.024987556	0.0004079878345	0.013375
3.35	0.02429069189	0.0003987874851	0.013375
3.25	0.0175211548	0.000311585139	0.013125
